pH,tds,turbidity,temperature,label
8.75,2578.6,9.89,28.27,Unsafe
6.77,151.3,3.38,22.84,Safe
7.16,175.7,1.32,24.47,Safe
8.16,2185.1,18.41,28.61,Unsafe
7.63,329.5,7.05,23.6,Unsafe
7.56,182.7,2.05,19.96,Safe
7.17,640.8,2.66,26.32,Unsafe
7.75,455.6,4.97,27.07,Unsafe
6.81,213.9,17.88,27.1,Unsafe
6.59,399.3,12.98,25.3,Unsafe
7.78,1017.9,33.83,29.34,Unsafe
7.15,95.7,0.67,19.68,Safe
7.36,173.6,0.66,24.33,Safe
8.09,900.2,26.66,25.76,Unsafe
7.53,72.0,2.4,23.28,Safe
8.89,1821.8,12.79,29.5,Unsafe
7.99,1168.8,31.7,26.88,Unsafe
8.24,937.4,15.51,26.5,Unsafe
7.16,145.0,0.81,23.35,Safe
7.24,125.4,1.51,22.06,Safe
8.04,1051.4,20.78,27.29,Unsafe
9.02,1780.3,6.34,23.62,Unsafe
6.6,332.2,8.9,24.38,Unsafe
7.57,334.7,14.16,25.7,Unsafe
6.85,410.3,12.73,27.09,Unsafe
7.8,940.9,26.1,29.5,Unsafe
7.41,275.6,5.69,22.2,Unsafe
6.91,610.7,28.53,26.64,Unsafe
6.89,110.5,2.34,25.47,Safe
7.35,158.7,0.89,24.17,Safe
7.23,664.7,3.13,22.88,Unsafe
7.59,91.1,0.69,23.48,Safe
7.96,1187.6,16.01,26.71,Unsafe
6.79,217.4,5.37,27.65,Unsafe
7.49,465.3,5.13,27.3,Unsafe
7.79,1020.8,28.12,25.8,Unsafe
7.0,164.2,2.78,25.71,Safe
7.35,84.8,2.16,22.0,Safe
6.64,549.7,10.85,24.8,Unsafe
8.39,1315.0,18.08,24.07,Unsafe
6.85,110.5,1.0,19.99,Safe
6.83,100.1,0.88,18.16,Safe
7.2,684.2,4.71,26.73,Unsafe
7.07,592.5,20.06,28.99,Unsafe
8.0,2156.2,10.77,24.23,Unsafe
8.54,1431.7,10.74,27.57,Unsafe
7.26,495.9,26.36,24.87,Unsafe
6.28,498.1,34.29,28.43,Unsafe
7.42,500.0,16.42,23.47,Unsafe
7.18,615.2,15.37,24.2,Unsafe
7.75,1021.4,31.75,27.08,Unsafe
6.81,264.8,24.13,23.63,Unsafe
7.19,166.4,3.3,24.85,Safe
7.44,821.7,2.34,22.68,Unsafe
6.74,145.2,1.63,25.66,Safe
8.29,1505.9,17.42,28.3,Unsafe
7.02,44.7,0.67,21.0,Safe
8.63,1431.3,20.53,25.34,Unsafe
7.1,153.7,1.74,24.22,Safe
7.48,318.1,8.22,26.37,Unsafe
7.53,165.6,2.98,22.66,Safe
6.82,508.8,12.86,24.88,Unsafe
9.23,1861.9,14.97,27.11,Unsafe
6.96,519.1,5.82,21.92,Unsafe
7.46,91.3,0.0,18.9,Safe
8.77,987.8,15.67,24.64,Unsafe
7.14,104.4,1.95,23.02,Safe
6.64,345.5,72.75,27.76,Unsafe
6.3,656.0,30.15,28.85,Unsafe
6.14,350.4,26.58,22.12,Unsafe
6.84,116.6,1.24,23.16,Safe
7.31,436.2,11.7,24.72,Unsafe
7.41,259.9,10.04,26.33,Unsafe
7.23,103.6,1.84,20.45,Safe
6.16,720.7,20.39,25.12,Unsafe
7.26,384.9,24.14,24.47,Unsafe
9.0,2086.0,19.72,28.74,Unsafe
7.52,177.2,1.5,22.85,Safe
7.06,658.1,30.35,27.88,Unsafe
7.47,619.7,27.13,22.81,Unsafe
7.58,229.2,13.94,26.95,Unsafe
7.02,94.1,2.48,20.9,Safe
7.37,168.4,1.67,22.26,Safe
8.19,1589.9,15.59,25.12,Unsafe
7.15,345.2,13.48,23.52,Unsafe
7.27,135.7,3.13,21.71,Safe
7.92,952.3,26.95,27.18,Unsafe
8.09,485.6,2.21,27.18,Unsafe
6.93,167.5,1.79,20.9,Safe
7.33,517.5,23.73,27.85,Unsafe
7.46,742.1,2.07,26.16,Unsafe
7.19,558.4,12.08,25.41,Unsafe
8.05,772.2,1.57,25.15,Unsafe
7.57,177.9,0.82,24.41,Safe
7.66,667.1,4.68,25.75,Unsafe
7.54,112.5,0.2,22.74,Safe
8.06,980.6,21.3,28.68,Unsafe
7.11,823.5,0.64,25.99,Unsafe
7.92,926.1,29.89,26.24,Unsafe
8.15,1178.8,21.35,27.31,Unsafe
6.54,499.1,14.04,22.52,Unsafe
7.16,114.6,1.87,22.35,Safe
9.07,1223.9,11.59,29.57,Unsafe
6.84,46.9,0.0,21.13,Safe
6.93,615.8,15.12,24.3,Unsafe
7.02,312.8,4.68,24.63,Unsafe
6.88,158.7,1.77,23.0,Safe
6.7,449.7,17.5,24.41,Unsafe
8.75,2701.4,12.3,27.94,Unsafe
7.6,182.4,2.47,21.57,Safe
7.23,83.1,2.42,25.37,Safe
6.99,190.1,2.1,25.38,Safe
8.55,1755.9,15.2,25.07,Unsafe
6.72,96.5,0.02,21.18,Safe
9.63,1466.6,24.37,27.42,Unsafe
7.21,108.0,1.15,24.79,Safe
8.69,2050.6,15.82,27.8,Unsafe
8.91,1665.8,22.84,26.54,Unsafe
8.29,1130.2,20.41,29.57,Unsafe
7.01,103.0,1.13,25.24,Safe
6.45,691.9,25.64,26.65,Unsafe
6.75,268.7,13.34,23.84,Unsafe
7.56,263.3,4.34,27.13,Unsafe
8.71,1240.5,22.18,28.33,Unsafe
6.74,439.1,17.26,27.05,Unsafe
8.27,2140.5,10.78,24.61,Unsafe
7.54,568.1,42.37,22.02,Unsafe
7.13,137.0,2.63,25.36,Safe
7.03,342.1,16.73,26.4,Unsafe
7.65,582.7,1.75,24.3,Unsafe
8.25,1047.1,14.95,24.51,Unsafe
7.27,421.0,4.32,24.39,Unsafe
6.51,213.1,9.87,22.73,Unsafe
6.92,472.8,10.71,25.24,Unsafe
7.02,477.0,24.44,23.42,Unsafe
6.75,717.6,26.47,24.97,Unsafe
7.29,427.7,13.44,26.17,Unsafe
7.07,463.7,5.52,27.51,Unsafe
7.27,57.2,0.8,20.22,Safe
9.04,1553.4,10.91,26.67,Unsafe
7.52,526.4,17.89,27.56,Unsafe
8.0,761.4,1.2,25.26,Unsafe
7.17,175.3,1.65,23.01,Safe
7.13,332.4,12.94,24.75,Unsafe
7.42,668.3,1.83,24.28,Unsafe
7.06,685.2,35.69,28.87,Unsafe
8.26,2023.7,20.45,26.53,Unsafe
7.84,1095.9,21.09,30.13,Unsafe
6.92,542.9,17.26,23.79,Unsafe
9.38,2268.7,11.53,29.36,Unsafe
6.9,62.4,0.13,20.03,Safe
7.21,122.3,0.49,21.14,Safe
7.45,89.1,0.49,21.8,Safe
7.04,536.0,22.31,27.3,Unsafe
7.49,623.0,24.76,27.66,Unsafe
6.99,398.1,13.73,26.7,Unsafe
7.27,263.4,14.27,25.35,Unsafe
8.2,859.7,2.38,23.74,Unsafe
7.46,525.3,12.03,22.56,Unsafe
6.78,59.6,0.59,22.01,Safe
7.53,116.7,1.78,24.98,Safe
6.68,635.7,25.25,25.1,Unsafe
6.79,259.5,12.05,22.88,Unsafe
9.47,1631.0,22.38,30.35,Unsafe
8.34,1857.5,16.19,24.75,Unsafe
7.46,723.7,4.37,21.91,Unsafe
7.51,50.5,0.32,18.87,Safe
7.09,569.5,10.89,23.36,Unsafe
6.66,263.8,9.66,27.27,Unsafe
7.27,414.3,25.2,27.23,Unsafe
6.74,333.0,22.03,24.29,Unsafe
9.28,1396.6,11.98,26.97,Unsafe
6.19,627.5,34.47,28.46,Unsafe
7.53,143.8,2.24,23.83,Safe
6.76,729.5,8.21,24.28,Unsafe
8.29,662.5,3.65,24.45,Unsafe
7.78,395.1,4.71,25.11,Unsafe
7.19,121.7,3.03,25.88,Safe
6.77,504.7,32.14,27.43,Unsafe
7.15,121.2,1.03,23.42,Safe
8.69,1690.7,15.4,27.41,Unsafe
6.94,366.4,25.04,23.95,Unsafe
7.24,52.3,0.49,20.62,Safe
6.71,452.0,25.37,21.75,Unsafe
8.47,914.7,13.76,23.73,Unsafe
7.37,68.5,0.44,21.7,Safe
6.94,379.5,24.89,22.77,Unsafe
7.57,545.8,28.65,22.33,Unsafe
7.93,1001.6,30.96,28.05,Unsafe
7.58,494.6,6.13,24.18,Unsafe
7.01,167.3,2.4,21.45,Safe
7.14,419.5,25.16,24.41,Unsafe
9.43,1477.5,21.85,26.24,Unsafe
7.36,138.1,0.9,22.04,Safe
9.56,2432.0,18.21,26.62,Unsafe
8.62,1735.4,17.51,25.94,Unsafe
7.23,136.1,0.78,24.49,Safe
7.5,249.2,8.01,23.77,Unsafe
7.1,162.4,2.95,24.79,Safe
6.77,60.5,1.32,20.65,Safe
9.53,1500.1,17.02,24.68,Unsafe
7.21,335.9,12.53,23.69,Unsafe
8.76,1883.0,10.65,25.08,Unsafe
7.32,582.5,2.71,25.26,Unsafe
8.11,1190.2,23.47,27.53,Unsafe
7.47,493.2,1.97,23.96,Unsafe
7.12,85.7,0.04,19.75,Safe
8.1,1000.2,21.33,29.24,Unsafe
8.62,1369.3,23.76,27.07,Unsafe
7.17,79.7,0.46,19.39,Safe
8.18,995.9,20.49,27.85,Unsafe
8.76,1091.3,9.03,24.52,Unsafe
9.15,1644.9,14.43,27.51,Unsafe
7.3,114.4,0.94,17.85,Safe
7.4,134.4,0.79,20.16,Safe
8.9,2691.2,16.09,28.74,Unsafe
7.42,107.2,2.38,20.74,Safe
6.89,72.8,0.28,17.77,Safe
7.82,982.0,30.79,27.89,Unsafe
7.31,539.5,19.91,23.65,Unsafe
7.38,108.6,1.07,21.59,Safe
7.44,180.9,2.05,23.45,Safe
7.48,435.8,11.12,24.61,Unsafe
9.42,2442.1,18.96,26.23,Unsafe
7.39,338.1,23.11,26.56,Unsafe
7.45,529.7,19.71,22.32,Unsafe
7.33,129.8,0.37,22.65,Safe
6.8,68.3,0.0,19.78,Safe
7.25,124.3,1.27,17.84,Safe
8.87,1985.7,18.81,26.53,Unsafe
8.32,1076.9,8.91,26.92,Unsafe
7.45,55.0,0.38,20.97,Safe
9.4,1654.0,17.07,26.0,Unsafe
6.57,224.4,13.77,26.87,Unsafe
6.94,461.1,24.9,27.01,Unsafe
9.03,1986.4,19.63,25.05,Unsafe
6.88,607.8,21.94,23.78,Unsafe
7.85,1144.0,23.11,28.69,Unsafe
7.42,369.8,6.44,24.43,Unsafe
7.13,194.8,3.21,20.66,Safe
7.14,102.5,0.96,23.12,Safe
7.25,322.4,14.95,24.34,Unsafe
6.65,534.9,9.89,28.26,Unsafe
7.35,363.1,6.79,23.66,Unsafe
7.52,173.4,0.28,20.61,Safe
9.17,1426.3,12.35,27.99,Unsafe
6.95,339.3,13.01,28.52,Unsafe
7.9,931.7,20.94,28.62,Unsafe
8.43,1262.7,10.64,24.81,Unsafe
7.52,429.6,2.82,24.35,Unsafe
6.72,540.0,26.13,21.74,Unsafe
7.3,93.6,0.57,20.28,Safe
6.99,482.1,5.54,23.62,Unsafe
7.95,581.0,1.41,23.21,Unsafe
6.78,78.1,0.0,18.34,Safe
8.99,1934.3,12.28,27.36,Unsafe
6.39,683.6,34.5,25.6,Unsafe
8.5,977.7,10.44,27.19,Unsafe
7.52,169.5,2.6,24.33,Safe
7.91,671.7,1.72,23.07,Unsafe
7.18,164.3,2.35,23.65,Safe
7.37,451.0,1.29,21.42,Unsafe
9.38,1849.8,10.4,23.38,Unsafe
7.15,116.1,2.83,22.48,Safe
7.76,1126.7,18.08,29.39,Unsafe
7.86,1007.3,35.61,26.76,Unsafe
8.82,2230.1,18.27,28.79,Unsafe
7.59,90.4,2.86,23.54,Safe
8.22,1069.7,27.41,28.59,Unsafe
7.3,104.3,1.46,20.24,Safe
7.78,481.5,1.32,23.33,Unsafe
8.99,1499.9,20.73,24.58,Unsafe
6.73,64.8,0.14,22.13,Safe
6.45,640.1,34.58,28.12,Unsafe
8.61,1113.1,20.81,25.14,Unsafe
6.76,502.5,23.69,23.85,Unsafe
8.11,923.1,26.98,27.5,Unsafe
6.99,152.8,0.66,24.01,Safe
6.76,710.4,27.29,28.18,Unsafe
7.0,466.3,10.12,24.51,Unsafe
6.98,144.9,1.99,22.25,Safe
6.79,65.6,0.0,22.96,Safe
8.15,850.5,0.95,28.32,Unsafe
7.41,92.6,3.01,24.8,Safe
6.98,493.9,21.26,24.06,Unsafe
8.32,1064.7,30.12,29.63,Unsafe
7.63,477.8,3.62,21.77,Unsafe
8.83,1270.1,21.11,26.28,Unsafe
9.54,1779.4,14.57,29.74,Unsafe
8.2,852.6,1.85,27.19,Unsafe
8.11,1110.4,18.35,28.51,Unsafe
9.1,1327.6,20.72,26.98,Unsafe
6.76,77.9,0.55,24.43,Safe
7.47,81.4,0.32,19.14,Safe
6.65,330.0,31.67,24.49,Unsafe
7.29,96.6,1.84,25.6,Safe
7.41,749.1,0.82,24.26,Unsafe
7.54,149.2,1.34,22.68,Safe
8.85,2008.9,6.9,26.57,Unsafe
7.7,426.8,1.81,21.36,Unsafe
6.42,632.5,17.97,27.39,Unsafe
7.32,481.6,9.84,24.28,Unsafe
8.4,984.9,16.16,27.12,Unsafe
7.46,169.0,1.31,23.98,Safe
6.81,542.2,20.61,22.42,Unsafe
9.11,2129.0,9.7,25.72,Unsafe
7.04,588.4,12.46,24.99,Unsafe
7.84,1012.9,27.89,29.71,Unsafe
8.06,1003.0,15.05,27.58,Unsafe
8.45,1886.8,18.58,27.85,Unsafe
7.51,89.2,0.16,18.66,Safe
9.56,2006.2,9.17,28.76,Unsafe
7.78,865.7,1.4,26.54,Unsafe
6.69,443.6,17.38,27.52,Unsafe
7.81,531.6,1.27,26.87,Unsafe
7.15,97.6,1.92,25.7,Safe
8.27,2684.9,24.68,23.74,Unsafe
6.79,419.7,17.12,27.49,Unsafe
7.58,129.9,0.0,20.59,Safe
7.98,896.7,26.91,26.42,Unsafe
7.08,149.0,2.71,25.66,Safe
7.47,220.1,12.46,23.58,Unsafe
8.28,954.2,34.22,28.68,Unsafe
7.11,98.8,0.62,21.71,Safe
7.01,113.6,1.61,20.72,Safe
8.92,1256.1,18.41,26.56,Unsafe
7.25,170.8,0.23,24.64,Safe
7.35,310.9,13.99,24.06,Unsafe
7.08,160.7,2.95,21.74,Safe
7.73,351.8,5.32,25.34,Unsafe
8.51,1384.1,19.17,26.16,Unsafe
7.1,182.0,3.61,21.0,Safe
7.84,726.3,3.99,27.32,Unsafe
8.14,486.8,2.52,28.75,Unsafe
7.35,820.7,1.62,24.61,Unsafe
7.33,166.3,2.71,22.09,Safe
7.92,1152.8,18.52,28.46,Unsafe
6.85,146.9,0.0,25.17,Safe
7.8,717.4,0.62,28.19,Unsafe
8.14,1067.5,31.68,27.45,Unsafe
7.14,146.5,0.51,23.85,Safe
7.34,134.0,3.61,19.84,Safe
7.1,358.5,26.67,26.06,Unsafe
6.33,628.0,12.73,24.7,Unsafe
6.52,567.5,10.59,22.87,Unsafe
7.48,399.7,10.57,26.37,Unsafe
7.0,546.8,17.94,24.5,Unsafe
7.02,192.4,1.45,19.58,Safe
7.18,170.9,3.02,23.44,Safe
7.12,59.5,0.0,24.51,Safe
7.28,890.6,1.56,24.79,Unsafe
9.64,2312.8,22.15,23.64,Unsafe
7.16,106.5,0.99,22.28,Safe
7.36,300.2,11.05,25.3,Unsafe
6.91,453.5,35.42,24.0,Unsafe
7.09,734.1,8.31,28.61,Unsafe
7.13,306.9,32.8,24.65,Unsafe
7.27,678.4,4.17,23.31,Unsafe
7.22,752.9,0.34,20.63,Unsafe
9.58,1362.7,21.96,27.45,Unsafe
7.89,548.2,3.83,26.74,Unsafe
7.51,371.9,4.79,24.56,Unsafe
7.57,193.5,1.15,22.33,Safe
9.5,1553.4,16.55,27.06,Unsafe
7.84,1184.5,17.87,27.11,Unsafe
7.18,606.5,21.43,24.6,Unsafe
7.04,130.6,3.51,20.52,Safe
7.43,86.0,1.53,23.42,Safe
8.84,1330.2,10.98,25.28,Unsafe
9.38,1326.6,10.77,27.21,Unsafe
8.05,1176.4,18.61,27.66,Unsafe
7.34,117.0,3.33,24.16,Safe
7.08,95.4,1.54,25.77,Safe
7.92,1057.2,16.01,26.92,Unsafe
7.22,419.7,19.51,23.89,Unsafe
7.86,988.8,15.06,27.57,Unsafe
7.27,420.7,10.23,22.55,Unsafe
8.11,2119.0,20.45,24.41,Unsafe
6.63,458.2,27.64,22.48,Unsafe
8.21,975.1,20.79,25.75,Unsafe
7.59,161.0,0.19,21.32,Safe
6.93,150.5,1.53,21.98,Safe
7.23,84.9,0.87,21.41,Safe
8.96,1907.7,14.23,25.77,Unsafe
6.4,447.8,32.33,25.18,Unsafe
8.1,508.0,2.31,23.48,Unsafe
6.91,397.8,16.43,28.42,Unsafe
7.02,284.1,16.53,23.94,Unsafe
7.46,533.1,0.82,24.75,Unsafe
8.4,1857.7,21.29,27.99,Unsafe
7.29,146.2,2.13,25.47,Safe
7.29,347.9,13.82,27.29,Unsafe
7.75,439.8,4.92,24.28,Unsafe
7.03,269.4,23.93,28.7,Unsafe
7.05,129.6,0.83,22.88,Safe
7.59,267.1,9.46,25.15,Unsafe
6.69,73.3,0.42,18.67,Safe
8.0,595.9,3.05,23.71,Unsafe
7.81,853.0,4.48,23.82,Unsafe
7.96,1098.0,22.63,26.04,Unsafe
6.77,89.5,1.59,20.25,Safe
7.16,160.6,0.21,21.43,Safe
7.49,179.1,1.52,26.14,Safe
7.42,367.0,7.52,26.71,Unsafe
7.23,472.1,4.65,26.2,Unsafe
8.88,1539.5,13.8,23.4,Unsafe
7.81,612.6,2.49,27.15,Unsafe
8.67,1405.6,13.74,24.63,Unsafe
7.27,113.0,0.15,19.45,Safe
7.03,431.1,13.71,25.66,Unsafe
8.55,1583.4,14.22,24.89,Unsafe
8.28,1093.9,22.25,26.73,Unsafe
6.79,472.7,13.42,24.99,Unsafe
6.52,266.8,8.96,26.03,Unsafe
7.43,85.4,0.99,20.41,Safe
7.17,137.8,1.46,23.11,Safe
9.2,1840.5,24.39,28.1,Unsafe
6.9,615.6,25.66,25.0,Unsafe
7.36,666.9,8.89,27.74,Unsafe
7.32,34.2,0.64,19.1,Safe
6.79,113.9,1.61,18.76,Safe
8.09,1011.9,19.12,26.74,Unsafe
7.83,839.7,3.64,24.27,Unsafe
7.5,142.4,0.0,24.07,Safe
7.37,127.7,1.29,25.74,Safe
9.35,1822.5,19.54,27.08,Unsafe
6.98,334.8,13.09,25.28,Unsafe
6.71,671.2,25.83,28.44,Unsafe
8.47,1608.4,11.17,23.86,Unsafe
6.73,215.5,4.93,27.5,Unsafe
7.15,109.8,2.54,25.45,Safe
7.27,50.7,0.68,20.15,Safe
7.49,52.9,0.49,18.82,Safe
7.15,258.6,16.73,26.56,Unsafe
6.95,331.4,14.65,27.46,Unsafe
7.23,499.5,13.96,23.99,Unsafe
8.99,1876.2,11.33,24.16,Unsafe
7.26,152.0,3.18,23.78,Safe
7.12,82.0,0.58,22.57,Safe
7.04,404.7,13.56,26.21,Unsafe
7.54,413.3,21.16,21.73,Unsafe
7.37,178.4,1.12,20.53,Safe
6.41,582.1,12.11,23.73,Unsafe
6.5,754.5,22.73,23.69,Unsafe
7.85,277.1,14.07,25.7,Unsafe
8.86,1234.2,17.92,27.26,Unsafe
9.14,2698.2,22.59,27.38,Unsafe
8.75,1586.8,17.62,27.85,Unsafe
6.89,376.6,8.75,26.59,Unsafe
8.66,2116.2,10.62,29.04,Unsafe
8.26,1167.4,25.78,29.24,Unsafe
7.77,583.2,1.1,26.7,Unsafe
6.93,87.6,2.76,21.43,Safe
6.49,275.7,9.53,27.49,Unsafe
7.6,482.2,26.07,26.62,Unsafe
8.14,659.7,1.04,24.07,Unsafe
6.71,339.1,22.81,23.54,Unsafe
8.04,720.5,1.08,22.17,Unsafe
8.5,1891.9,8.08,25.84,Unsafe
8.25,1650.8,10.01,27.85,Unsafe
8.7,1701.1,17.47,26.39,Unsafe
6.44,320.0,11.32,27.59,Unsafe
7.93,1154.5,28.73,30.48,Unsafe
7.43,391.1,14.01,24.64,Unsafe
6.78,136.7,2.29,21.24,Safe
8.16,658.4,5.48,24.23,Unsafe
7.74,276.8,10.16,22.96,Unsafe
6.41,729.0,14.01,26.95,Unsafe
7.89,869.8,1.1,26.2,Unsafe
6.98,82.3,0.32,22.55,Safe
8.85,1121.7,18.96,24.71,Unsafe
8.11,1187.9,29.12,26.44,Unsafe
7.23,72.4,0.14,20.11,Safe
8.53,2386.9,12.6,29.16,Unsafe
7.13,485.4,30.46,27.49,Unsafe
7.19,93.4,0.0,17.99,Safe
6.96,140.1,0.79,22.74,Safe
8.77,1421.0,20.16,28.83,Unsafe
6.79,118.3,2.65,23.9,Safe
8.4,951.8,17.73,23.72,Unsafe
6.51,240.6,13.97,25.33,Unsafe
7.99,980.6,30.09,29.14,Unsafe
7.25,114.2,0.94,21.16,Safe
8.18,1289.7,18.54,27.18,Unsafe
7.08,183.7,2.33,23.88,Safe
7.59,451.7,6.97,28.39,Unsafe
7.17,139.5,1.61,21.14,Safe
7.56,171.8,2.31,23.74,Safe
6.75,397.0,34.26,28.04,Unsafe
7.16,125.7,1.0,25.83,Safe
8.08,1741.9,8.85,27.97,Unsafe
7.45,133.5,1.95,22.6,Safe
6.74,70.8,0.61,22.37,Safe
7.29,143.4,1.16,24.06,Safe
8.58,2408.3,10.18,24.29,Unsafe
8.98,2748.9,18.1,26.89,Unsafe
9.11,1968.7,22.83,30.08,Unsafe
7.13,457.3,16.3,26.85,Unsafe
7.94,1092.9,18.11,27.77,Unsafe
8.26,875.2,2.07,27.06,Unsafe
7.39,702.7,1.39,22.87,Unsafe
8.36,823.9,3.82,22.98,Unsafe
7.55,326.7,8.23,23.2,Unsafe
6.82,110.8,0.53,17.58,Safe
7.88,1177.8,24.11,28.47,Unsafe
7.06,186.7,3.3,23.14,Safe
8.09,579.6,2.84,29.21,Unsafe
7.12,183.6,2.3,24.2,Safe
7.38,305.2,23.16,28.0,Unsafe
6.5,737.7,19.05,25.3,Unsafe
7.04,44.5,0.69,22.65,Safe
8.98,2048.6,10.85,28.8,Unsafe
7.43,78.2,0.54,22.61,Safe
7.21,116.6,2.21,24.87,Safe
7.03,502.8,4.66,24.04,Unsafe
7.37,535.5,30.77,24.05,Unsafe
7.58,454.4,15.79,24.71,Unsafe
6.78,208.5,14.87,25.8,Unsafe
7.26,234.7,14.7,25.28,Unsafe
7.0,105.1,0.84,26.46,Safe
7.49,128.8,1.95,26.62,Safe
6.7,445.2,18.03,26.43,Unsafe
7.33,182.7,2.63,25.47,Safe
8.21,794.1,5.37,26.63,Unsafe
7.19,101.4,0.69,20.04,Safe
6.92,257.1,15.4,26.64,Unsafe
6.55,247.6,10.37,27.44,Unsafe
7.27,729.3,27.52,26.16,Unsafe
8.75,905.8,11.62,26.24,Unsafe
6.95,455.3,6.44,25.84,Unsafe
7.27,128.3,0.98,23.06,Safe
6.78,106.3,0.93,18.65,Safe
9.14,1500.6,17.87,24.61,Unsafe
6.74,369.9,4.01,23.11,Unsafe
9.04,1493.0,6.6,24.53,Unsafe
9.55,1830.7,18.89,26.55,Unsafe
8.06,1916.7,8.01,23.19,Unsafe
8.25,1797.6,8.53,23.91,Unsafe
7.53,324.8,10.32,26.51,Unsafe
7.06,182.3,0.39,24.27,Safe
6.82,495.3,21.12,22.36,Unsafe
7.5,139.3,1.99,20.93,Safe
8.27,2127.4,18.65,28.2,Unsafe
7.49,536.8,8.51,24.41,Unsafe
7.54,88.9,0.0,24.85,Safe
8.16,991.3,29.19,26.92,Unsafe
7.01,571.7,34.26,28.51,Unsafe
7.3,421.3,5.78,26.97,Unsafe
6.93,164.2,1.57,22.55,Safe
7.39,141.9,3.26,20.63,Safe
7.34,187.1,2.05,23.88,Safe
7.12,282.3,7.07,27.9,Unsafe
6.65,636.7,11.42,27.12,Unsafe
7.52,298.8,23.95,23.81,Unsafe
7.11,94.5,1.09,22.2,Safe
7.41,165.1,1.14,22.88,Safe
6.8,163.3,2.23,20.22,Safe
6.95,141.9,2.2,19.84,Safe
8.24,1983.6,8.75,27.34,Unsafe
7.12,167.5,1.13,21.02,Safe
6.98,125.1,0.52,24.86,Safe
6.95,152.1,2.88,23.83,Safe
7.06,316.3,17.34,24.56,Unsafe
7.19,710.6,1.03,25.62,Unsafe
7.61,333.8,14.34,26.59,Unsafe
7.54,427.0,5.47,26.61,Unsafe
8.16,671.4,2.21,26.05,Unsafe
7.92,1064.0,33.19,26.22,Unsafe
7.07,476.4,7.06,24.22,Unsafe
7.38,81.9,0.0,18.6,Safe
8.21,994.0,28.84,28.24,Unsafe
6.99,500.5,22.78,25.4,Unsafe
9.67,2799.9,13.14,28.82,Unsafe
6.63,255.7,12.44,26.44,Unsafe
7.31,500.3,17.11,22.64,Unsafe
6.92,73.0,0.07,23.71,Safe
7.59,696.7,1.45,25.85,Unsafe
6.82,96.6,0.93,19.89,Safe
8.0,925.9,24.09,27.52,Unsafe
7.53,102.5,0.29,23.3,Safe
7.38,240.6,8.15,26.82,Unsafe
8.15,1163.5,15.29,30.23,Unsafe
7.89,1181.5,25.45,29.91,Unsafe
8.26,495.2,4.43,24.8,Unsafe
6.95,104.7,1.64,21.8,Safe
7.31,232.4,5.92,23.59,Unsafe
6.85,96.2,1.26,25.06,Safe
8.07,675.9,3.86,26.92,Unsafe
7.07,90.9,2.2,22.8,Safe
7.08,99.7,0.43,18.66,Safe
8.62,1790.1,9.49,27.05,Unsafe
9.79,1657.3,14.93,23.16,Unsafe
8.93,2645.3,14.67,28.23,Unsafe
6.54,601.5,11.76,22.84,Unsafe
8.36,2069.2,7.13,24.22,Unsafe
7.63,101.3,0.98,22.56,Safe
9.12,2173.2,14.7,28.23,Unsafe
6.67,343.6,10.28,25.01,Unsafe
6.47,570.6,12.43,24.73,Unsafe
8.25,1140.3,33.31,27.46,Unsafe
8.46,1276.6,10.87,27.84,Unsafe
7.04,96.8,0.29,24.16,Safe
8.8,2534.5,7.87,28.63,Unsafe
8.24,750.7,3.63,27.51,Unsafe
8.98,1832.5,10.16,23.96,Unsafe
7.56,161.9,1.75,23.14,Safe
6.61,536.6,20.78,23.41,Unsafe
7.34,590.6,15.22,23.13,Unsafe
8.23,1086.8,33.89,27.51,Unsafe
8.25,943.4,31.67,29.12,Unsafe
6.95,97.9,0.91,21.44,Safe
6.7,83.2,1.54,22.68,Safe
8.05,1645.3,20.83,28.26,Unsafe
7.07,342.3,13.54,24.78,Unsafe
6.64,389.5,14.55,25.74,Unsafe
7.02,575.2,29.21,28.31,Unsafe
8.43,2780.0,24.59,27.23,Unsafe
6.56,413.0,28.34,25.61,Unsafe
6.7,436.3,29.61,23.97,Unsafe
7.45,93.7,0.59,23.16,Safe
7.98,802.1,1.05,25.42,Unsafe
9.68,2569.0,17.11,27.58,Unsafe
6.65,556.1,17.64,26.58,Unsafe
7.27,677.9,19.47,28.54,Unsafe
7.89,1006.2,31.06,27.32,Unsafe
9.31,1701.6,20.85,28.57,Unsafe
9.56,1393.5,12.75,28.65,Unsafe
8.42,1113.0,18.98,28.27,Unsafe
7.22,449.4,11.21,26.72,Unsafe
7.11,699.3,1.49,23.69,Unsafe
8.27,912.4,30.53,28.88,Unsafe
7.58,433.1,1.49,26.62,Unsafe
7.1,148.4,2.76,22.63,Safe
7.93,1063.1,20.14,28.34,Unsafe
6.51,358.0,21.96,28.23,Unsafe
6.53,258.0,29.61,22.95,Unsafe
7.01,117.5,1.58,24.49,Safe
7.18,116.9,0.62,22.88,Safe
7.3,109.8,0.96,24.58,Safe
6.89,557.2,29.4,23.48,Unsafe
8.78,991.8,11.2,25.53,Unsafe
6.94,676.8,20.27,22.85,Unsafe
7.39,434.5,8.34,24.85,Unsafe
9.42,906.8,16.04,25.81,Unsafe
8.2,2314.6,11.61,28.5,Unsafe
8.04,963.1,23.49,28.0,Unsafe
